original_filename,shipto_address,buyer_address,po_number,subtax_amount,seller_address,seller_name,buyer_name,seller_phone,invoice_date,client_id,total_tax,total_tax_%,subtotal,payment_due_date,net_d,invoice_amount,subtax_name,payto_name,total_due_amount,invoice_number,subtax_%,seller_email,shipto_name
gWgvMH5FOvQcTOqeyPFsQRmmqTYMoN$pv2.jpg,,United States,,,"100 Front Street W 1E3 M5J Canada ON , Toronto , 416 )",,TATA GLOBAL MASTER,),,,,,,,,"1,266.63",,,,,,,
gWgvMH5FOtQcY1t1uJF4y7fo4x5$sWeVe4.pdf,,"EQUINOX , TOWER 1 , 3RD FLOOR , OFF BKCC ROAD , KURLA WEST , Mumbai , Maharashtra",,10.63,"BGP 10/14 & 10/15 , BG BLOCK ,
PCMC INDUSTRIAL AREA MIDC BHOSARI , Pune - 411026 , Maharashtra",The Fern Residency,TATA COMMUNICATIIONS LIMITED,91-020-30793079,24 - Jun - 2022,,0.26,,425.00,,,446.00,SGST,,,23/0002100,6.00 %,fom.fr.midcpune@fernhotels.com,
gWgvMH5FOvQb9eFo9Z9gQ4jzYP9JroDIj.pdf,,,,,"125 Raritan Center Parkway
Edison , NJ 08837
United States",Sheraton Edison Hotel Raritan Center,,732-225-8300,,,,,,,,-147.87,,,,1000081673,,,
gWgvMH5FOtQb2lCDhf90ySa9Ktc7V7p5t.jpg,,"Plot No - CFC / 1 , Software Layout , Near MEAL
Image Hospital , Madhapur , Hyderabad , Nationality
Telangana - 500033",,"2,520.00",No CFC - 4 / C Phase - 1,AIRPORT STAY INN,Mr.Amiya,"9948336600 , 9640360009",25-06-2022,,,,,,,"68,040.00",IGST,,,40,06 %,hotelairportstayinn@gmail.com,
gWgvMH5FOtgV1VbecFlnfWsZK0PmpDLqJ.pdf,,BORIVALI,,81.81,"16 / ASHIVDRASHANS.V.ROADBORIVALI
MUMBAI Maharashtralndia400092",Roots Corporation Ltd.,,0832-6643333,02.07.2022,,,,909.00,,,"1,072.62",,ROOTS CORPORATION LTD,,GOI1530001118022,6.00,reservations.goa@gingerhotels.com,
gWgvMH5FOtgNW27q$pz1Pcgzln$pR4gfA50.pdf,,"Raj Rajeshwari Nagar Ext
Gilet Bazar
Varanasi
NI
Varanasi 221002",,492.00,"43/3 Whitefield Main Road
Bengaluru - 560066",Four Points by Sheraton,Mr Shailesh Singh,- 91 80 40301212,02-06-22,,0.00,,"8,200.00",,,9.184.00,,,,4037-,,,
gWgvMH5FOtgdr0EyCoV$peEmyuNFsuIyki.pdf,,"B - 104 , Shah Complex 4 ,
Plot No - 14 , Sanpada , Navi ,
Mumbai .
Mumbai MH 400705
India",,,"Inn & Suites By Radisson Mysore
No. 345 / A , Hebbal Electronic City , Mysore 570016
Karnataka INDIA",Country Inn & Suites By Radisson,TATA Communications Ltd.,+ 91-821-6642000,24-06-22,,0.00,,,,,"16,240.00",,,,-110214,,reservations@cismysore.in,
gWgvMH5FOswYQmQM4dd7rtoJnUkelWmNZ.jpg,,"3RD Street Subramaniya Nagar ,",,,"Ganeshkhind Road , Premnagar , Ashok Nagar , Pune - 411016 , Maharashtra",E - Square The Fern Pune,Mr. SUGIN RAJ BHASKARAN,"91-020-66410551,91-020-66410552",24 - Jun - 2022,,,,,,,"8,960.00",CGST,,,23/0002370,6.00,res.tf.esquare@fernhotels.com,
gWgvMH5FNsw5oHwPHqCoRAr8HBHXjmre3.pdf,,"Vsb , No. 4 , Swamy Sivanantham Salai
Chennai - 600002",,374.98,"Mount Poonmallee High Road
Opp Miot Hospital , Mannapakkam
Chennai - 600125",KUBER INN ELITE,Tata Communications Ltd.,044-46664999,01/07/2022,,,,6500.28,,,7000.00,CGST,,,F22B962,,Elite@Kuberinn.com,
gWgvMH5FNtwHaMiJ$p$srmGCHcCjEdq5NIU.pdf,,"Hotel Palomar Beverly Hills
10740 Wilshire Boulevard
Los Angeles , California 90024
United States",,,,,Kimpton,,,,,,,,,,,,,,,,
