original_filename,shipto_address,buyer_address,po_number,subtax_amount,seller_address,seller_name,buyer_name,seller_phone,buyer_vat_number,invoice_date,client_id,total_tax,total_tax_%,subtotal,payment_due_date,invoice_amount,subtax_name,seller_vat_number,payto_name,total_due_amount,invoice_number,subtax_%,seller_email,shipto_name
gWgvMH5dLtgcBu3MOepXzhDAzCSc9lAPj.pdf,NA,NA,NA,NA,NA,Airbnb,NA,NA,NA,"May 03, 2022",NA,NA,NA,"₹37,500.00",NA,NA,NA,NA,NA,NA,RC3NRXXR5M,NA,NA,NA
gWgvMH5BKtgLz$p6o8MhT7nPQTFtmRNCFY.jpg,NA,NA,NA,NA,"2151 Laurelwood Road, Santa Clara, CA 95054",DELTA HOTELS,MARRIOTT,408-988-8411,NA,13-JUN-22,NA,NA,NA,NA,NA,NA,NA,NA,MARRIOTT,NA,1000005217,NA,NA,MARRIOTT
gWgvMH5BKvAQ4ZsN09RqSRHxIE6WJmZL4.pdf,NA,NA,NA,NA,"Holiday Inn Golden Mile Hong Kong, 50 Nathan Road, Tsim Sha Tsui, Kowloon, Hong Kong",NA,"Wong, Genius",+852 2369 3111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wong, Genius",NA,,NA,reservations.higm@ihg.com,"Wong, Genius"
gWgvMH5dLsAX5M6vJx5ArM7f6CgzKD218.pdf,"jpnagarDr ambedkarcolony, 144001, jalandhar punjab","jpnagarDr ambedkarcolony, 144001, jalandhar punjab",NA,NA,NA,NA,MR ROBIN SHARMA,NA,NA,27-MAY-2022,NA,NA,NA,NA,NA,NA,NA,NA,MR ROBIN SHARMA,NA,,NA,NA,MR ROBIN SHARMA
gWgvMH5dOtwZ4tjRVoCNXzqwnZ$p0HSbF5.jpg,NA,NA,NA,NA,"KIADB, Whitefield, KIA",SELECT HOTELS,Mr Bipin Patil,+91 80 6814 1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mr Bipin Patil,NA,,NA,NA,Mr Bipin Patil
gWgvMH5dOtQabTSripiIfZEjDxXoo2hpq.pdf,NA,NA,NA,NA,"No 53, 2nd Cross, Maruthi Nagar, Madiwala, Bengaluru - 560 029.",Deltalnn,Bipin Patil,+9180497374448,NA,21 / 05 / 2 /2,NA,NA,NA,NA,NA,NA,NA,NA,Bipin Patil,NA,,NA,NA,Bipin Patil
gWgvMH5dOtAAoPqia$pCi46MWcud42Y3se.pdf,NA,NA,NA,NA,Videsh Sanchar Bhavan MG Rd Opp Cross,Tata Communications Ltd,NA,NA,NA,01-05-22,NA,NA,NA,NA,NA,NA,NA,27AAACV2808CIZP,NA,NA,,NA,NA,NA
gWgvMH5FGsATPYLXSQvutkiyfWZ$pUg8Bn.pdf,NA,NA,NA,NA,"Vlear HIHT Chowk, Jollygrant, Bhaniyawala Dehradun (U.K) 248140",HOTEL MJ AERO SUITES (A Unit Of JS Developers),NA,"+91 8650031333,8650041333,8650051333",NA,NA,NA,NA,NA,NA,NA,NA,NA,05AAQFJ1918E1ZG,NA,NA,NA,NA,Enquiry@mjaerosuites.co,NA
gWgvMH5dPtAdafQO1fgXu5x2Spf81UY$p3.pdf,"Tata Communications Limited, Ultadanga, Kolkata","Tata Communications Limited, Ultadanga, Kolkata",NA,NA,"Lemon Tree Premier, New Town, Kolkata",PREMIER,Mr. Ganapathi Kolloji,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mr. Ganapathi Kolloji,NA,,NA,NA,Mr. Ganapathi Kolloji
gWgvMH5FGtQGJIgxV$sHaap5ef9sZRpa1K.pdf,NA,NA,NA,NA,"Opp. Grand Plaza Mall, Bhopa Road, Muzaffarnagar",HOTEL RADIANT INN (A Unit of Maa Vaishno Enterprises),MR ANIVESH KUMAR,0131-2600777,NA,,NA,NA,NA,NA,NA,NA,EP,09ABDFM9782D1ZW,MR ANIVESH KUMAR,NA,,NA,hotelradiantinn@gmail.com,MR ANIVESH KUMAR
gWgvMH5FGtQBnYPHao$pWaA8LthJcSMmSf.pdf,"86/ hotel manasi 202. pride Plot No. 2 Yashodha nagar, Godoli, Satara.","86/ hotel manasi 202. pride Plot No. 2 Yashodha nagar, Godoli, Satara.",NA,NA,NA,NA,Abhay choygule,NA,NA,0g /06 / 22,NA,NA,NA,NA,NA,NA,NA,NA,Abhay choygule,NA,,NA,NA,Abhay choygule
gWgvMH5FGvQBsjIsGu$pC4qFF$pDousfMjR.pdf,"Room 0321, Puppalaguda, K V rangareddy, Hyderabad AP 500089, India","Room 0321, Puppalaguda, K V rangareddy, Hyderabad AP 500089, India",NA,NA,NA,NA,Mr Ravi Shanker Prajapati,,NA,29-06-22,NA,NA,NA,NA,NA,NA,NA,NA,Mr Ravi Shanker Prajapati,NA,,NA,NA,Mr Ravi Shanker Prajapati
gWgvMH5FHsgaNkQv481ixAhDOXC216nEe.jpg,NA,NA,NA,NA,"Dighi Magzine Chowk, Wadmukhwadi, Charholi Bk ., Tal Haveli, Dist. Pune - 412 105",HOTEL PRAGATI LODGE,NA,+91-20-27157927,NA,8 | 122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372,NA,NA,NA
gWgvMH5FHsQ9qwovh8cJYe3i5TzJSmYj9.jpg,NA,NA,NA,NA,Tata Communications,NA,Mr Rajapatel Biradar,,NA,26-JUN-2022,NA,NA,NA,NA,NA,$735,NA,NA,Mr Rajapatel Biradar,$735,,NA,NA,Mr Rajapatel Biradar
gWgvMH5FHsQ9qwovh8cJYe3i5TzJSmYj9.pdf,Hyderabad,Hyderabad,NA,NA,NA,NA,M/s. Tata Communications,NA,NA,01-JUL-2022,NA,NA,NA,NA,NA,NA,NA,NA,M/s. Tata Communications,NA,,NA,NA,M/s. Tata Communications
gWgvMH5FHtAR1GdM$pTl1ptZcHXwZCcR$sB.pdf,NA,NA,NA,NA,"125 Raritan Center Parkway, Edison, NJ 08837, United States",SHERATON,NA,732-225-8300,NA,June 22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000080279,NA,NA,NA
gWgvMH5FHswHQoHQP8tEWKsjjUtjoxNm$p.pdf,NA,NA,NA,NA,"TATA Communications Ltd. Videsh Sanchar Bhavan, MG Road Bhavan, MG Road Fort, Mumbai - 400001 India",ACCOR,Mr. Denis Dason,,NA,25/06/22,NA,NA,NA,NA,NA,NA,NA,NA,Mr. Denis Dason,NA,,NA,NA,Mr. Denis Dason
gWgvMH5FHtw5ijVW3oEKBIADm2uphurwc.pdf,NA,NA,NA,NA,"Baihata Chariali, Guwahati Road, SBI Building
3rd Floor, Near ASTC office",HOTEL PARIBAS,Pijush Kanti Pal,,NA,30-06-2022,NA,NA,NA,NA,NA,NA,NA,NA,Pijush Kanti Pal,NA,,NA,NA,Pijush Kanti Pal
gWgvMH5FHsgFAXftUcdGyf7qRA5t$pDQw2.pdf,"Room : 825, BANGALORE","Room : 825, BANGALORE",NA,NA,Fairfield® BY MARRIOTT BENGALURU OUTER RING ROAD,NA,Mr Nishant Shrivastava,,NA,28-06-22,NA,NA,NA,NA,NA,NA,NA,NA,Mr Nishant Shrivastava,NA,,NA,NA,Mr Nishant Shrivastava
gWgvMH5FHvQbwjd2mYl7uA9wDYPvs2fXt.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
gWgvMH5FHvA$p0JUMIZsVP0FCQ0WMkOacd.pdf,Indian,Indian,NA,NA,The Acres | MUMBAI,THE FERN Residency,Mr. RAHUL MATTA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Mr. RAHUL MATTA,NA,23/0004009,NA,NA,Mr. RAHUL MATTA
gWgvMH5FGtQRaawfnzfmYkpckTdIcbUPJ.pdf,saubhagya inn,saubhagya inn,NA,NA,NA,NA,MR ANIVESH KUMAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AAPCS3116D,MR ANIVESH KUMAR,NA,,NA,NA,MR ANIVESH KUMAR
gWgvMH5FIswPG89GAQ4gWrq87YCNcb7le.pdf,NA,NA,NA,NA,"BUILDING NO.5, 19TH FLOOR TOWER A B C. EPITOMA, DLF CYBER CITY, GURGAON GURGAON Haryana India 122002",Make My Trip Secured,BHUTE. SACHIN VASANTRAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,06AADCM5146RIZZ,BHUTE. SACHIN VASANTRAO,NA,NA,NA,NA,BHUTE. SACHIN VASANTRAO
gWgvMH5FItAeNCIs$ppIdplaWtH6y1Tba1.pdf,NA,NA,NA,NA,NA,NA,NA,,NA,30-06-22,NA,NA,NA,NA,NA,NA,NA,27AAACV2808C1ZP,NA,NA,,NA,NA,NA
gWgvMH5FJsAEU$p$sDxcSuua$sEYNNKqz92u.jpg,NA,NA,NA,NA,"Idco Tower, C/O Tata Communications Limited, 1 Janpath, Bhubaneshwar, Khordha, Orissa India 751022",TATA COMMUNICATIONS TRANSFORMATION SERVICES LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21AACCV3189Q1ZU,NA,NA,,NA,NA,NA
gWgvMH5FItwYQTOdcegWFzmZJnjlOgAH6.pdf,NA,NA,NA,NA,"MICHAEL MADUCH, FERDINANDBRAUNPLATZ 1, 40549 DUESSELDORF, Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F 51951,NA,NA,NA
gWgvMH5FJsA9NZgGodDmokLWmi78$pASf$p.pdf,NA,NA,NA,NA,NA,TCL Traveldesk,MJ Aerosuites,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MJ Aerosuites,NA,,NA,NA,MJ Aerosuites
gWgvMH5FItgaAsWgH$sQUhmxQ7z3rZSdRz.pdf,NA,NA,NA,NA,FOUR POINTS AFWEDABADE ELLES BRIDGE HYDERABAD,AMEX,NA,NA,NA,28-JUN-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA
gWgvMH5FJtQW8$p6T5kCWZ$sg9q6dpsfnlW.jpg,NA,NA,NA,NA,"19 GST Road, Guindy, Chennai 600 032, India",HABLIS HOTELS,NA,+91.44.4023 5555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gWgvMH5FJtATCQNYtSKY9Cyhqysi4IGUK.pdf,"Plot 36, subiksha Avenue, Kurinji Nagar, Koilambakkam, Kancheepuram, Tamil Nadu, India","Plot 36, subiksha Avenue, Kurinji Nagar, Koilambakkam, Kancheepuram, Tamil Nadu, India",NA,NA,"Le MERIDIEN, KOCHI",NA,NA,NA,NA,22/06/22,NA,NA,NA,NA,NA,NA,NA,32AAACV2808CIZY,NA,NA,,NA,NA,NA
